Essential Question,Domain,Type,Sector,Indicator,Metric,Data Element,Ed-Fi Availability,Ed-Fi Data Element Path,CEDS Availability,CEDS Data Element Path V11,CEDS Data Element Path V13,Other Data Sources,Data Capture Method,Data Status,Notes,Classification,CEDS Queries V11,CEDS Queries V13,Column 2,Column 21,Column 4,Column 5,Column 6,Column 7,Column 8
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,"Percentage of courses taught by full-time equivalent (FTE) teachers (that is, teachers other than substitutes or those with emergency or provisional licenses)",Staff FTE status,Found,staffEducationOrganizationEmploymentAssociation.FullTimeEquivalency,Found,FactK12StaffCounts.StaffFullTimeEquivalency,FactK12StaffEmployments.FullTimeEquivalency,ALSDE Data Code Manual,Automated,Available,,,"select
	'Number of FTE Staff(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
	CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StaffCounts f
where f.StaffFullTimeEquivalency = 1.0","select
    'Number of FTE Staff(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
    CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StaffEmployments f 
join RDS.DimPeople_Current d
    on d.DimPersonId = f.K12Staff_CurrentId
where f.FullTimeEquivalency = 1.0",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,"Percentage of courses taught by full-time equivalent (FTE) teachers (that is, teachers other than substitutes or those with emergency or provisional licenses)",Course instructor (or teacher's course assignments),Found,StaffSectionAssociation.Staff,Found,BridgeK12StudentCourseSectionK12Staff.K12StaffId,BridgeK12StudentCourseSectionK12Staff.K12StaffId,ALSDE Data Code Manual,Automated,Available,,,"select
	'Number of CourseSection Staff(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
	CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.BridgeK12StudentCourseSectionK12Staff b
join RDS.FactK12StudentCourseSections f 
on b.FactK12StudentCourseSectionId = f.FactK12StudentCourseSectionId","select
	'Number of CourseSection Staff(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
	CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.BridgeK12StudentCourseSectionK12Staff b
join RDS.FactK12StudentCourseSections f 
on b.FactK12StudentCourseSectionId = f.FactK12StudentCourseSectionId",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,Percentage of courses taught by teachers certified to teach the given subject or grade level,Course ID or course title,Found,"StaffSectionAssociation.Section.CourseOffering.LocalCourseCode, StaffSectionAssociation.Section.CourseOffering.LocalTitle, StaffSectionAssociation.Section.CourseOffering.Course.CourseCode, StaffSectionAssociation.Section.CourseOffering.Course.CourseTitle",Found,FactK12StudentCourseSections.K12CourseId,FactK12StudentCourseSections.StateK12CourseId,Student Data Application Guide,Automated,Available,p. 57,,"select
	'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
	CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.K12CourseId = c.DimK12CourseId","select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.StateK12CourseId = c.DimK12CourseId",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,Percentage of courses taught by teachers certified to teach the given subject or grade level,Teacher qualification or certification type,Found,Credential.CertificationTitle,Found,FactK12StaffCounts.K12StaffStatusId,FactK12StaffCounts.K12StaffStatusId,ALSDE Data Code Manual,Automated,Available,,,"select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.K12CourseId = c.DimK12CourseId","select
        'Number of Courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.FactK12StudentCourseSections f
join RDS.DimK12Courses c
on f.K12CourseId = c.DimK12CourseId",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,K12,Teacher credentials,Percentage of courses taught by teachers certified to teach the given subject or grade level,Teaching assignment (subject and/or grade level taught),Found,"StaffSchoolAssociation.AcademicSubject, StaffSchoolAssociation.GradeLevel",Found,BridgeK12StudentCourseSectionK12Staff.K12StaffId,BridgeK12StaffAssignmentCourseSections.K12CourseId,,Automated,Available,"The Alabama Certification Search website (linked here) allows the public to search the certification status of any teacher in the state. The site includes information about certification status, certifications, endorsments, and grade levels, among other information. The state department of education also has a Youtube training video (https://www.youtube.com/watch?v=QAQLoAuMkMw) with detailed information on certification data collection on the state. The spreadsheet notes that the data come from SIS teacher schedules and educator directorirs.",,"select
        'Number of Teachers assigned to courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.BridgeK12StudentCourseSectionK12Staff b
join RDS.FactK12StudentCourseSections f on b.FactK12StudentCourseSectionId = f.FactK12StudentCourseSectionId
join RDS.DimK12Courses c
on f.K12CourseId = c.DimK12CourseId","select
    'Number of Teachers assigned to courses(K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
     CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks 
from RDS.BridgeK12StaffAssignmentCourseSections b
join RDS.FactK12StaffAssignments f
	on b.FactK12StaffAssignmentId = f.FactK12StaffAssignmentId
join RDS.DimK12Courses d
	on b.K12CourseId = d.DimK12CourseId",,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PS,Teachers' contributions to student learning growth,"Percentage of instructors demonstrating above average contributions to student learning, as measured by student growth on state standardized tests or other outcomes (for example, using value-added models or student growth percentiles)","SGP for standardized assessments (subject specific for reading/literacy, math, and science)",Not Found,N/A,,,,,Manual,Not Available,,,CEDS DWH does not contain tables to relate PS students and Assessments,CEDS DWH does not contain tables to relate PS students and Assessments,,,,,,,
"6. Do students have access to quality school environments, including quality curricula and instruction, experienced teachers, effective leaders, and adequate funding?",Academic Progress & Completion,E-W System Conditions,PS,Teachers' contributions to student learning growth,"Percentage of instructors demonstrating above average contributions to student learning, as measured by student growth on state standardized tests or other outcomes (for example, using value-added models or student growth percentiles)",VAM for subject specific assessment,Not Found,N/A,,,,,Manual,Not Available,,,Not sure about VAM in CEDS DWH,Not sure about VAM in CEDS DWH,,,,,,,
7. Are there populations of students that disproportionately experience exclusionary discipline practices that disrupt their educational experience?,Academic Progress & Completion,Outcomes & Milestones,PK,Consistent attendance,"Percentage of students who are present for more than 90 percent of their enrolled days, excluding students enrolled for fewer than 90 days",Student attendance rate,Not Found,N/A,,,,ALSDE Data Code Manual,Automated,Available,,,PK Tables not available in CEDS DWH,PK Tables not available in CEDS DWH,,,,,,,
7. Are there populations of students that disproportionately experience exclusionary discipline practices that disrupt their educational experience?,Academic Progress & Completion,Outcomes & Milestones,K12,Consistent attendance,"Percentage of students who are present for more than 90 percent of their enrolled days, excluding students enrolled for fewer than 90 days",Student attendance rate,Not Found,N/A,Found,FactK12StudentAttendanceRates.StudentAttendanceRate,FactK12StudentAttendanceRates.StudentAttendanceRate,ALSDE Data Code Manual,Automated,Available,,,"
select
        'Attendance rate (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(a.StudentAttendanceRate) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
        join RDS.DimSchoolYears y on f.SchoolYearId = y.DimSchoolYearId
        join RDS.DimDates entry_dt on entry_dt.DimDateId = f.EnrollmentEntryDateId
        join RDS.DimDates exit_dt on exit_dt.DimDateId = f.EnrollmentExitDateId
        join RDS.FactK12StudentAttendanceRates a on f.K12StudentId = a.K12StudentId
        and f.SchoolYearId = a.SchoolYearId
                join RDS.FactK12StudentDisciplines d on f.K12StudentId = d.K12StudentId
        and f.SchoolYearId = d.SchoolYearId
        join RDS.DimDates discp_dt on discp_dt.DimDateId = d.DisciplinaryActionStartDateId
    where
        discp_dt.DateValue between entry_dt.DateValue
        and exit_dt.DateValue;","
select
        'Attendance rate (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(a.StudentAttendanceRate) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
        join RDS.DimSchoolYears y on f.SchoolYearId = y.DimSchoolYearId
        join RDS.DimDates entry_dt on entry_dt.DimDateId = f.EnrollmentEntryDateId
        join RDS.DimDates exit_dt on exit_dt.DimDateId = f.EnrollmentExitDateId
        join RDS.FactK12StudentAttendanceRates a on f.K12StudentId = a.K12StudentId
        and f.SchoolYearId = a.SchoolYearId
                join RDS.FactK12StudentDisciplines d on f.K12StudentId = d.K12StudentId
        and f.SchoolYearId = d.SchoolYearId
        join RDS.DimDates discp_dt on discp_dt.DimDateId = d.DisciplinaryActionStartDateId
    where
        discp_dt.DateValue between entry_dt.DateValue
        and exit_dt.DateValue;",,,,,,,
7. Are there populations of students that disproportionately experience exclusionary discipline practices that disrupt their educational experience?,Academic Progress & Completion,Outcomes & Milestones,PS,Consistent attendance,"Percentage of students who are present for more than 90 percent of their enrolled days, excluding students enrolled for fewer than 90 days",Student attendance rate,Not Found,N/A,,,,ALSDE Data Code Manual,Automated,Available,,,"
select
        'Attendance rate (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(a.StudentAttendanceRate) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
        join RDS.DimSchoolYears y on f.SchoolYearId = y.DimSchoolYearId
        join RDS.DimDates entry_dt on entry_dt.DimDateId = f.EnrollmentEntryDateId
        join RDS.DimDates exit_dt on exit_dt.DimDateId = f.EnrollmentExitDateId
        join RDS.FactK12StudentAttendanceRates a on f.K12StudentId = a.K12StudentId
        and f.SchoolYearId = a.SchoolYearId
                join RDS.FactK12StudentDisciplines d on f.K12StudentId = d.K12StudentId
        and f.SchoolYearId = d.SchoolYearId
        join RDS.DimDates discp_dt on discp_dt.DimDateId = d.DisciplinaryActionStartDateId
    where
        discp_dt.DateValue between entry_dt.DateValue
        and exit_dt.DateValue;","
select
        'Attendance rate (K-12)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(a.StudentAttendanceRate) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
        join RDS.DimSchoolYears y on f.SchoolYearId = y.DimSchoolYearId
        join RDS.DimDates entry_dt on entry_dt.DimDateId = f.EnrollmentEntryDateId
        join RDS.DimDates exit_dt on exit_dt.DimDateId = f.EnrollmentExitDateId
        join RDS.FactK12StudentAttendanceRates a on f.K12StudentId = a.K12StudentId
        and f.SchoolYearId = a.SchoolYearId
                join RDS.FactK12StudentDisciplines d on f.K12StudentId = d.K12StudentId
        and f.SchoolYearId = d.SchoolYearId
        join RDS.DimDates discp_dt on discp_dt.DimDateId = d.DisciplinaryActionStartDateId
    where
        discp_dt.DateValue between entry_dt.DateValue
        and exit_dt.DateValue;",,,,,,,
